;;;;;;;;;;;;;
;;;;;;;;;;;;;
;World Values Survey Wave 3: 1995-1999;;;;;;;;;;;;
;State of health;;;;;;;;;;;;
;;;;;;;;;;;;;
 ;TOTAL;Country;;;;;;;;;;;
;;Finland;Germany;India;Japan;Norway;Russia;South Africa;Spain;Sweden;Switzerland;Turkey;United States
Very good;25,1;29,9;17,6;17,7;14,4;40,4;2,4;34,2;18,1;39,2;37,5;18,2;40,2
Good;38,5;41,4;43,2;39,3;39,5;38,9;23,5;33,8;52,2;37,2;47,5;42,6;39
Fair;27,4;21,7;31,4;35,1;38;15,3;50,6;21,7;23,5;17,9;12,9;31,1;16,7
Poor;7,1;5,3;6,4;5,9;6,6;4,4;18,6;7,5;5;5;1,8;7,3;3,3
Very poor;1,6;1,1;1,5;1,4;1,1;1,1;4,7;2,7;1,2;0;0,3;0,8;0,5
DK;0,3;0,6;0;0,6;0,4;0;0,2;0,2;0,2;0,7;0,1;0,1;0,3
(N);18,082;987;1,017;2,04;1,054;1,127;2,04;2,935;1,211;1,009;1,212;1,907;1,542
