;;;;;;;;
;;;;;;;;
;World Values Survey Wave 4: 2000-2004;;;;;;;
;State of health;;;;;;;
;;;;;;;;
 ;TOTAL;Country/Region;;;;;;
;;India;Iraq;Japan;South Africa;Spain;Turkey;United States
Very good;27,2;20,4;24,6;14,6;46,6;19,6;18,4;41,9
Good;43,2;41,7;51,5;39,3;31,3;55,7;46,5;41,8
Fair;21,9;26,5;15,4;36,8;18,3;19,6;24,8;13,5
Poor;6,5;10,6;7,3;7,8;3,7;4,8;7,5;2,6
Very poor;0,6;0;0;0;0;0;2,5;0
No answer;0,2;0;1,1;0;0;0;0;0
Don´t know;0,4;0,8;0,1;1,5;0,1;0,2;0,3;0,1
(N);14,5;2,002;2,325;1,362;3;1,209;3,401;1,2
