;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;World Values Survey Wave 5: 2005-2009;;;;;;;;;;;;;;;;;;;;
;State of health (subjective);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 ;TOTAL;Country/Region;;;;;;;;;;;;;;;;;;;
;;Brazil;Finland;France;Germany;Hong Kong;India;Iraq;Italy;Japan;Norway;Russia;Rwanda;South Africa;Spain;Sweden;Switzerland;Thailand;Turkey;United Kingdom;United States
Very good;23,1;27,5;23,6;29,4;26,3;5,4;21,9;17,6;18,6;13,5;41,6;6,2;2,5;40,4;19,9;34,8;33,1;21,6;17;34,4;29,5
Good;45,2;46,8;43,3;43;44,9;57,7;46,7;47,6;55,5;40,1;37,9;33,6;31,1;37,8;59,5;42,8;51,1;54,4;51,3;39,8;52,2
Fair;24,3;23,4;27,3;22,4;23,1;32,5;24,4;21,9;22,5;37;16,1;45,3;49,1;14,5;16,3;19,2;13,2;19,2;22,9;17,9;14,6
Poor;6,9;2,3;5,8;5,2;5,1;3,8;6,8;11,7;3,4;8,7;4,5;14,4;16,9;5,6;4;3,2;2,6;4,3;7,7;7,9;3,7
Very poor (cs);0,2;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0;0;0;0,8;0;0
"Missing; Not asked by the interviewer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,3;0;0
No answer;0,2;0,1;0;0;0,4;0;0;0,7;0;0,7;0;0,2;0,3;0;0,1;0;0;0,5;0,1;0;0
Don´t know;0,1;0;0;0;0,3;0,5;0,2;0,4;0;0;0;0,3;0,1;0,2;0,2;0;0;0;0;0,1;0
(N);29,808;1,5;1,014;1,001;2,064;1,252;2,001;2,701;1,012;1,096;1,025;2,033;1,507;2,988;1,2;1,003;1,241;1,534;1,346;1,041;1,249
