;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;World Values Survey Wave 6: 2010-2014;;;;;;;;;;;;;;
;State of health (subjective);;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
 ;TOTAL;Country Code;;;;;;;;;;;;;
;;Brazil;Germany;Hong Kong;India;Iraq;Japan;Russia;Rwanda;South Africa;Spain;Sweden;Thailand;Turkey;United States
Very good;24,5;24,2;27,7;14,8;26,5;16,2;13,3;5,1;33,8;41,8;20,3;30,8;29,4;18,8;27,8
Good;44,8;47;39,1;43;45,3;49,2;37,9;39;49,1;42;53,9;44,8;49,9;47,6;52,1
Fair;24,1;25,5;25,3;36,5;20,6;27,3;37,5;44,5;13;11,9;20,6;21;18,3;25,5;16,1
Poor;6,1;3,1;7,8;5,4;7,3;6,8;9,6;10,6;4,1;4,3;5;3,3;2,4;5,6;3,3
"BH:Missing;HT:Missing-Dropped out survey; RU:Inappropriate response";0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0
No answer;0,2;0;0,1;0,3;0;0;0;0,1;0;0;0,1;0,1;0;1,5;0,7
Don´t know;0,3;0,1;0;0;0,2;0,4;1,7;0,4;0;0;0,1;0,1;0;1;0
(N);27,243;1,486;2,046;1;4,078;1,2;2,443;2,5;1,527;3,531;1,189;1,206;1,2;1,605;2,232
