;;;;;;;;;;;;;
;;;;;;;;;;;;;
;World Values Survey Wave 3: 1995-1999;;;;;;;;;;;;
;Feeling of happiness;;;;;;;;;;;;
;;;;;;;;;;;;;
 ;TOTAL;Country;;;;;;;;;;;
;;Finland;Germany;India;Japan;Norway;South Africa;Spain;Sweden;Switzerland;Turkey;United Kingdom;United States
Very happy;34,5;23,7;20,5;29,9;32,5;29,9;35,3;18,7;39,2;39,8;51;32,4;46,3
Quite happy;51,2;67,5;62,5;46;56,5;64,4;37,1;67,8;54,7;54,5;37,3;58,2;47,5
Not very happy;11,5;6,5;13,3;19,8;8,9;4,8;21,7;12,2;4,1;4,7;9,4;6,8;5,3
Not at all happy;2,2;1,1;2,3;2,8;0,6;0,7;5,6;0,9;0,8;0,6;2,1;2,4;0,5
DK;0,7;1,2;1,5;1,5;1,4;0,2;0,3;0,3;1,2;0,4;0,1;0,2;0,4
(N);17,135;987;1,017;2,04;1,054;1,127;2,935;1,211;1,009;1,212;1,907;1,093;1,542
