;;;;;;;;;
;;;;;;;;;
;World Values Survey Wave 4: 2000-2004;;;;;;;;
;State of mind;;;;;;;;
;;;;;;;;;
 ;TOTAL;Country/Region;;;;;;;
;;India;Iraq;Japan;South Africa;Spain;Sweden;Turkey;United States
Very happy;29,7;25,3;13,2;27,8;38,5;20,1;36,6;34,5;39
Quite happy;48,6;47,6;49;58,7;38,8;66,9;56,8;42,5;54
Not very happy;15,8;20,9;26,2;9,9;18,4;11;4,8;14;5,8
Not at all happy;5,2;4,5;10,4;0,6;4,2;1,4;1,5;8,9;0,5
No answer;0;0;0,3;0;0;0;0;0;0
Don´t know;0,8;1,7;0,9;3;0,1;0,6;0,3;0,1;0,7
(N);15,514;2,002;2,325;1,362;3;1,209;1,014;3,401;1,2
