;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;World Values Survey Wave 5: 2005-2009;;;;;;;;;;;;;;;;;;;;
;Feeling of happiness;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 ;TOTAL;Country/Region;;;;;;;;;;;;;;;;;;;
;;Brazil;Finland;France;Germany;Hong Kong;India;Iraq;Italy;Japan;Norway;Russia;Rwanda;South Africa;Spain;Sweden;Switzerland;Thailand;Turkey;United Kingdom;United States
Very happy;27,3;34;29,5;36,3;19,3;6,9;28,9;6,2;18,4;28,4;36,6;10,5;11,9;42,7;13,6;43;42;40,2;37,3;50,7;34,4
Quite happy;55,1;56,4;62,5;53,8;61,9;76,7;46,4;46;71;58,9;59,7;55,2;73,5;35,1;78,4;53,1;51,5;52,2;48,8;42,7;58,8
Not very happy;13,1;8,8;6,7;7,6;14,1;15,4;21,6;28,4;8,6;8,9;3,3;25,9;12;15,7;6,3;3,2;5,6;6,7;9,4;5,2;6,4
Not at all happy;3,4;0,6;1,2;1,9;1,5;0,5;2,7;17,1;1,4;1,1;0,2;3,9;2,4;6,1;1,2;0,5;0,3;0,6;4,3;1,2;0,4
"Missing; Not asked by the interviewer";0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0,2;0;0;0;0;0;0
No answer;0,4;0,2;0;0;0,6;0;0;1,4;0,4;2,7;0,1;0,6;0,3;0;0,2;0,2;0,3;0,3;0;0,1;0
Don´t know;0,7;0,1;0,1;0,3;2,6;0,6;0,3;1;0,2;0;0,1;3,8;0;0,3;0,1;0;0,2;0;0,1;0,1;0
(N);29,808;1,5;1,014;1,001;2,064;1,252;2,001;2,701;1,012;1,096;1,025;2,033;1,507;2,988;1,2;1,003;1,241;1,534;1,346;1,041;1,249
