;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;World Values Survey Wave 6: 2010-2014;;;;;;;;;;;;;
;Feeling of happiness;;;;;;;;;;;;;
;;;;;;;;;;;;;;
 ;TOTAL;Country Code;;;;;;;;;;;;
;;Brazil;Germany;Hong Kong;India;Iraq;Japan;Russia;Rwanda;South Africa;Spain;Sweden;Turkey;United States
Very happy;31,2;35,2;23,1;23,4;37,4;10,5;32,3;14,8;40,6;39,3;15,5;40,5;37,5;36,1
Rather happy;52,9;56,8;60,9;65,7;50;57,5;54,2;58,5;49,8;37,1;70,9;54,1;46,3;53,5
Not very happy;12,8;7,2;13,4;9,3;10,8;26,3;9,4;20,7;8,5;17,7;12,2;4,9;11,9;8,8
Not at all happy;2,1;0,8;1,5;1,4;1,4;4,8;1;1,8;1;5,6;1,1;0,4;3,8;1,2
"HT: Missing-Dropped out survey; RU: Inappropriate response";0;0;0;0;0;0;0;0,1;0;0;0;0;0;0
No answer;0,1;0,1;0,2;0,2;0;0;0;0,3;0;0;0;0,2;0,3;0,5
Dont know;0,9;0;1;0;0,3;0,9;3,2;3,8;0;0,3;0,3;0;0,2;0
(N);26,043;1,486;2,046;1;4,078;1,2;2,443;2,5;1,527;3,531;1,189;1,206;1,605;2,232
