;;;;;;;;;;;;;
;;;;;;;;;;;;;
;World Values Survey Wave 3: 1995-1999;;;;;;;;;;;;
;Importance in life: Leisure time;;;;;;;;;;;;
;;;;;;;;;;;;;
 ;TOTAL;Country;;;;;;;;;;;
;;Finland;Germany;India;Japan;Norway;Russia;South Africa;Spain;Sweden;Switzerland;Turkey;United States
Very important;33,4;34,7;31,5;11,1;39,8;39;25,8;31,5;30,2;51,4;45,2;40,1;42,3
Rather important;43,3;55,6;55,4;24,9;49,1;52,4;44,5;39,7;52;43;43;38,3;45,7
Not very important;17,1;7,5;11,9;40,1;8,8;7,6;24,4;19,6;15,4;4,4;9,4;16,6;10,7
Not at all important;5;0,8;0,7;21,9;0,6;1,1;3,8;7,7;1,4;0,7;1,1;3,3;0,8
DK;1,2;1,4;0,6;2;1,7;0;1,6;1,5;1;0,5;1,3;1,6;0,5
(N);18,082;987;1,017;2,04;1,054;1,127;2,04;2,935;1,211;1,009;1,212;1,907;1,542
