;;;;;;;;;
;;;;;;;;;
;World Values Survey Wave 4: 2000-2004;;;;;;;;
;Leisure time;;;;;;;;
;;;;;;;;;
 ;TOTAL;Country/Region;;;;;;;
;;India;Iraq;Japan;South Africa;Spain;Sweden;Turkey;United States
Very important;37,4;27,7;30,5;42,3;35,4;38,2;53,9;40,8;42,5
Rather important;39,6;33,6;34,2;46;42,9;48,5;39,6;35,1;48,2
Not very important;16,2;24,9;22;8,1;17,6;11,6;5,7;16,7;8,8
Not at all important;5,1;10,5;10;0,1;3,6;0,9;0,4;6,3;0,4
No answer;0,3;0;0,5;0;0;0;0;1,2;0
Don´t know;1,4;3,3;2,8;3,5;0,6;0,8;0,3;0;0,2
(N);15,514;2,002;2,325;1,362;3;1,209;1,014;3,401;1,2
