;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;World Values Survey Wave 5: 2005-2009;;;;;;;;;;;;;;;;;;;;
;Leisure time;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 ;TOTAL;Country/Region;;;;;;;;;;;;;;;;;;;
;;Brazil;Finland;France;Germany;Hong Kong;India;Iraq;Italy;Japan;Norway;Russia;Rwanda;South Africa;Spain;Sweden;Switzerland;Thailand;Turkey;United Kingdom;United States
Very important;35,4;27;42,6;37,6;29,7;23,6;23,6;31,2;31,1;40,3;48,8;29,3;44,3;37,1;43,5;53,6;37,5;25,9;47,2;45,4;37,3
Rather important;46,7;57,2;50,5;49,1;53,1;62,5;36,1;38,5;54,6;49,8;45,9;46,6;50,7;39,2;46,3;41,7;53,4;46,5;40,1;43,3;51,1
Not very important;13,4;12,8;5,7;11,1;13,8;12,7;24,2;18,4;12,5;6,6;5,3;18,4;4,4;17,3;8,9;4,5;8;24,5;10,3;9,7;9,9
Not at all important;3,2;2,5;0,4;2;2,4;0,3;12,6;7,5;0,7;0,5;0;3,7;0,2;6;1;0,3;0,9;2,5;2,3;0,5;0,8
"Missing; Not asked by the interviewer";0,1;0;0,5;0,2;0,3;0;0;0;0;0;0;0,2;0;0;0,2;0;0,1;0;0,1;0,8;0
No answer;0,4;0,4;0;0;0,5;0;0;1,5;0,7;2,7;0;0,5;0,1;0;0;0;0,1;0,6;0;0,1;0,8
Don´t know;0,7;0,1;0,3;0;0,2;0,8;3,4;2,9;0,3;0;0,1;1,3;0,3;0,5;0,1;0;0;0;0;0,3;0
(N);29,808;1,5;1,014;1,001;2,064;1,252;2,001;2,701;1,012;1,096;1,025;2,033;1,507;2,988;1,2;1,003;1,241;1,534;1,346;1,041;1,249
