;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;World Values Survey Wave 6: 2010-2014;;;;;;;;;;;;;
;Important in life: Leisure time;;;;;;;;;;;;;
;;;;;;;;;;;;;;
 ;TOTAL;Country Code;;;;;;;;;;;;
;;Brazil;Germany;Hong Kong;India;Iraq;Japan;Russia;Rwanda;South Africa;Spain;Sweden;Turkey;United States
Very important;35,9;32,8;31,6;33,5;34,9;16,8;42,3;29,4;31,4;36,1;44,8;53,6;41,9;38,9
Rather important;44,1;54,6;55,8;53,5;35,2;42,2;46,1;45,2;41,6;35,9;46,3;41,3;43,2;51,6
Not very important;14,8;10,4;11,4;11,9;19,1;31,4;8,3;18,5;22,5;18,9;7,6;3,5;12;8
Not at all important;4,1;1,8;1;0,6;9;8,8;0,5;5,1;4,5;8,2;0,3;0,5;1,8;0,9
"AR,DE,SE: Inapplicable;RU: Inappropriate response";0,1;0;0,2;0;0;0,2;0;0,5;0;0;0;0,7;0;0
No answer;0,2;0,1;0;0,5;0;0;0;0,1;0;0;0,6;0,4;0,2;0,6
Don´t know;0,9;0,3;0,1;0;1,8;0,5;2,8;1,1;0;0,9;0,3;0;0,8;0
(N);26,043;1,486;2,046;1;4,078;1,2;2,443;2,5;1,527;3,531;1,189;1,206;1,605;2,232
