;World Values Survey Wave 3: 1995-1999;;;;;;;;;;;
;Importance in life: Religion;;;;;;;;;;;
;;;;;;;;;;;;
 ;TOTAL;Country;;;;;;;;;;
;;Finland;Germany;India;Japan;Norway;Russia;South Africa;Sweden;Switzerland;Turkey;United States
Very important;38,4;13,3;15,3;48,2;6,4;12,1;14;67,8;9,5;14,3;83,3;55,9
Rather important;23,1;31,5;22,9;29,5;14,9;26,1;25,9;22,1;19,7;26,4;10,2;26,2
Not very important;22,9;37,1;34,1;13,9;38,3;41,1;34,8;7;42,6;32,3;4,1;12,4
Not at all important;14,1;17,3;27;7;31,7;20,7;22,5;2,5;27,2;24,6;2,4;5,2
DK;1,5;0,8;0,6;1,4;8,7;0,1;2,8;0,5;1;2,4;0;0,4
(N);16,871;987;1,017;2,04;1,054;1,127;2,04;2,935;1,009;1,212;1,907;1,542
