;;;;;;;;;
;;;;;;;;;
;World Values Survey Wave 4: 2000-2004;;;;;;;;
;Religion important;;;;;;;;
;;;;;;;;;
 ;TOTAL;Country/Region;;;;;;;
;;India;Iraq;Japan;South Africa;Spain;Sweden;Turkey;United States
Very important;59,7;55,8;93,5;6,4;69,7;21,9;10,6;80,3;56,9
Rather important;17,7;23,4;5,2;13,1;21,8;27,3;24,2;13,1;25,4
Not very important;12,3;11,6;0,6;31,6;5,3;30,9;42,3;3,7;12,4
Not at all important;8,7;7,1;0,2;36,4;3,1;19,3;22,2;2,7;4,9
No answer;0,1;0;0,3;0;0;0;0;0,2;0
Don´t know;1,5;2;0,2;12,4;0,1;0,5;0,7;0;0,3
(N);15,514;2,002;2,325;1,362;3;1,209;1,014;3,401;1,2
