;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;World Values Survey Wave 5: 2005-2009;;;;;;;;;;;;;;;;;;;;
;Religion important;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 ;TOTAL;Country/Region;;;;;;;;;;;;;;;;;;;
;;Brazil;Finland;France;Germany;Hong Kong;India;Iraq;Italy;Japan;Norway;Russia;Rwanda;South Africa;Spain;Sweden;Switzerland;Thailand;Turkey;United Kingdom;United States
Very important;38,7;50,5;17,6;13;11;5,1;49,7;95,6;34;5,7;10,5;13,1;38,8;69,9;14,8;9,3;17,2;56;74,6;20,7;47
Rather important;25,5;40,4;27,4;27,8;22,2;22;28,3;3,3;41,2;11,6;22,2;33,4;56,8;20,1;24,1;19,9;28,2;37,7;16,6;19,4;24,1
Not very important;20,7;6,2;40,4;30,6;28,4;60,4;13,4;0,4;16,8;31,7;41,3;31;4,1;6,5;31;40,7;31,6;5,3;6,2;33,4;19,5
Not at all important;13,5;2,7;14,2;28,3;36,2;9,8;5,3;0,2;6,7;39,7;26;17,9;0,1;3;29,7;29,6;22,7;0,4;2,5;25;8,7
"Missing; Not asked by the interviewer";0,1;0;0;0,2;1,2;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0,4;0
No answer;0,7;0,1;0,1;0;0,5;0;0;0,2;0,7;11,3;0;0,8;0,2;0;0,3;0,5;0,2;0,5;0,1;0,5;0,7
Don´t know;0,8;0;0,3;0,2;0,5;2,7;3,3;0,3;0,6;0;0;3,8;0;0,5;0,2;0;0,1;0;0,1;0,6;0
(N);29,808;1,5;1,014;1,001;2,064;1,252;2,001;2,701;1,012;1,096;1,025;2,033;1,507;2,988;1,2;1,003;1,241;1,534;1,346;1,041;1,249
