;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;World Values Survey Wave 6: 2010-2014;;;;;;;;;;;;;
;Important in life: Religion;;;;;;;;;;;;;
;;;;;;;;;;;;;;
 ;TOTAL;Country Code;;;;;;;;;;;;
;;Brazil;Germany;Hong Kong;India;Iraq;Japan;Russia;Rwanda;South Africa;Spain;Sweden;Turkey;United States
Very important;39,2;51,5;13,1;12,1;67,1;84,7;5,4;14,3;40,3;55,8;10,7;7,9;68,1;40,4
Rather important;24,6;37,9;24,9;21,3;24,2;12,8;13,6;27,5;32;28,1;21,3;18,3;24,6;28
Not very important;19,7;7,3;36,1;43,8;5,5;2,3;33,2;30,5;24,2;9,8;31,2;38,5;4;18,2
Not at all important;14,1;3,2;25,6;22,6;1,8;0,2;34,3;22,4;3,5;4,8;35,9;34,3;3;12,7
"BH,HT: Missing; RU:Inappropriate response";0,1;0;0;0;0;0;0;0,6;0;0;0;0;0;0
No answer;0,2;0,1;0,1;0,2;0;0;0;0,7;0;0;0,6;0,7;0;0,7
Don't know;2,2;0,1;0,2;0;1,4;0;13,5;4;0;1,6;0,3;0,4;0,3;0
(N);26,043;1,486;2,046;1;4,078;1,2;2,443;2,5;1,527;3,531;1,189;1,206;1,605;2,232
